id,tenant_id,client_id,entry_type,reference_type,reference_id,payment_session_id,amount,effective_date,balance_after,created_at,approved_date
aac917e5-731a-4300-8b51-e8681f5f3db3,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,invoice,dbbdc7c5-6cc1-45b3-8cdb-aa71722e1112,a7d75d9f-0de7-4505-8095-8e304bdb92d9,-150.00,,-150.00,2026-02-05 20:41:59.592768+00,2026-02-05
432b5a3f-aa95-4013-954f-226a2cbceaf4,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,invoice,dbbdc7c5-6cc1-45b3-8cdb-aa71722e1112,a7d75d9f-0de7-4505-8095-8e304bdb92d9,-10.00,,-160.00,2026-02-05 20:41:59.915338+00,2026-02-05
938b39ea-8340-4734-b176-47c2b956ffdf,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,payment,invoice,4d8e334d-5086-41d3-9023-8da6d15ec22b,1de6e7fc-b281-4c25-8ed2-e083f54a5443,-120.00,,402.00,2026-02-05 21:25:42.100566+00,2026-02-05
1c7eb5d2-2e86-4460-9c60-d30688464bdd,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,invoice,78150da7-6605-4cda-8072-9ce876a12d31,84062999-7f93-4f3d-8c4c-f9577e9e0017,-230.00,,140.00,2026-02-06 04:40:16.882023+00,2026-02-06
650edda7-d099-4f79-b144-cbbecc99a747,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,invoice,728348c9-0fb7-4b65-8006-cd79c68030ef,15006e19-f81c-449d-a883-ba786e859326,-150.00,,-10.00,2026-02-06 04:40:57.217116+00,2026-02-06
17e217fa-7970-4447-bdf2-ad19642f5605,348ce41c-1102-4295-bf6a-2ea0203c1036,4461804b-d110-4e18-a5a3-bbc039f5b9f9,payment,invoice,66b918e9-5b51-4971-9eb2-411e1ded3f69,dab67e08-e4d1-4482-9453-1001ed84d83e,-150.00,,-160.00,2026-02-06 04:42:14.722455+00,2026-02-06
449d1078-3ad2-4182-ab22-5531046772d9,348ce41c-1102-4295-bf6a-2ea0203c1036,a3165b28-7b3e-414d-adae-944673e482a7,payment,invoice,c6e01c63-5256-49c5-bfae-ab6b087d7662,7b52e3a8-02cd-4f2e-840d-3362c98abf74,-120.00,,-120.00,2026-02-06 04:43:30.356376+00,2026-02-06
2663b1d6-e39e-4f29-85ef-7e07972d40e6,348ce41c-1102-4295-bf6a-2ea0203c1036,a3165b28-7b3e-414d-adae-944673e482a7,payment,invoice,c6e01c63-5256-49c5-bfae-ab6b087d7662,7b52e3a8-02cd-4f2e-840d-3362c98abf74,-30.00,,-150.00,2026-02-06 04:43:30.682575+00,2026-02-06
d99c7b9a-9999-4ceb-9d2c-71a5468495e7,348ce41c-1102-4295-bf6a-2ea0203c1036,3e1f790b-ea8d-47dd-ac30-0f80b6415786,payment,invoice,4d8e334d-5086-41d3-9023-8da6d15ec22b,76c5639b-1a85-4afa-b4e1-d5745450ce42,-30.00,,372.00,2026-02-06 04:44:37.826724+00,2026-02-06
66e71c13-698e-4285-a031-4e414dcf8c21,348ce41c-1102-4295-bf6a-2ea0203c1036,a3165b28-7b3e-414d-adae-944673e482a7,payment,invoice,556bbe46-f4e3-46b4-b387-9f9cd1523f78,9aaa55b6-3fda-4a83-87f5-ead7b935a531,-110.00,,-260.00,2026-02-06 04:45:10.23609+00,2026-02-06
c58040a8-8cbd-4761-8a46-0fb0bef7bd88,348ce41c-1102-4295-bf6a-2ea0203c1036,a3165b28-7b3e-414d-adae-944673e482a7,payment,invoice,556bbe46-f4e3-46b4-b387-9f9cd1523f78,ff27e5d7-3dff-4a8d-933d-05b1251a2157,-40.00,,-300.00,2026-02-06 04:45:29.289777+00,2026-02-06
3cd0f5ab-a45a-4393-9b11-811768a29cf1,348ce41c-1102-4295-bf6a-2ea0203c1036,a0705f81-ec7c-4ccd-881b-42395cd4bf1d,payment,invoice,f7947580-841c-4f68-a290-f057be84dcb1,679969ab-de1c-44a2-8e52-1469f780b46b,-10.00,,65.00,2026-02-08 20:13:05.730336+00,2026-02-08
4f445239-9ce6-4b7a-b7c0-681347f94dfe,348ce41c-1102-4295-bf6a-2ea0203c1036,a0705f81-ec7c-4ccd-881b-42395cd4bf1d,payment,invoice,f7947580-841c-4f68-a290-f057be84dcb1,679969ab-de1c-44a2-8e52-1469f780b46b,-20.00,,45.00,2026-02-08 20:13:05.991216+00,2026-02-08
61cfe843-7dab-4dde-a65c-3863abe1afae,348ce41c-1102-4295-bf6a-2ea0203c1036,a0705f81-ec7c-4ccd-881b-42395cd4bf1d,payment,invoice,f7947580-841c-4f68-a290-f057be84dcb1,b5f87a58-f33e-482e-a407-bdc55614e0dc,-45.00,,0.00,2026-02-08 20:20:19.955208+00,2026-02-08
9cca7047-7d62-49bb-b83c-46f22a3b243f,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,e78e54b0-7d4c-4c74-b706-bfa8ad5cb523,f74b07c9-a995-45dc-ad9a-7ae9d24fae25,-45.00,,3055.00,2026-03-03 03:33:36.514573+00,2026-03-03
59b9a721-d41f-48db-b1ff-40ec741e8ab4,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,e78e54b0-7d4c-4c74-b706-bfa8ad5cb523,b635cf70-a36e-4459-8fd4-38c715411198,-70.00,,2985.00,2026-03-03 05:20:57.412367+00,2026-03-03
8817234c-610f-4f4b-a3ce-8b6f99c725dd,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,e78e54b0-7d4c-4c74-b706-bfa8ad5cb523,a8bf3ffa-8daa-4b94-8c39-01d7343dea63,-12.00,,2973.00,2026-03-03 07:15:01.41877+00,2026-03-03
065c7158-e66e-4eeb-b326-580ff9086f18,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,5b02f7b0-946a-46eb-9c74-f69615a35c68,c509fd88-b89e-4cf1-9a5e-fea9da6f680f,-85.00,,2888.00,2026-03-03 07:28:39.863024+00,2026-03-03
03e3eee7-d277-4d60-9550-518436f78ffe,145f2128-83ca-4ba8-85b5-8ade245c5530,f225ffb7-2eb1-4346-a949-882992d6f630,payment,invoice,36d817c5-adce-4d4c-8efc-572f221cde08,c9293f1d-b2e3-44ea-b4cd-6c940c7137cf,-95.00,,164782.58,2026-03-28 02:25:43.411068+00,2026-03-28
b2dabb21-fa75-4192-8eae-f3363c90128f,145f2128-83ca-4ba8-85b5-8ade245c5530,f225ffb7-2eb1-4346-a949-882992d6f630,adjustment,invoice_cancellation,8c76a483-1719-4609-97cc-d9e8d6bc82d5,,-1725.00,,163057.58,2026-03-28 16:54:10.529349+00,2026-03-28
b3e6f31e-bed9-4139-af0b-74b0e11f2206,145f2128-83ca-4ba8-85b5-8ade245c5530,f225ffb7-2eb1-4346-a949-882992d6f630,adjustment,invoice,ad621674-308c-42dc-afbb-55e56f9c0d49,,-10000.00,,153057.58,2026-04-03 00:31:46.328085+00,2026-04-03
92c69b2c-5733-41ce-9221-b100316bca5c,145f2128-83ca-4ba8-85b5-8ade245c5530,f225ffb7-2eb1-4346-a949-882992d6f630,adjustment,invoice,0576b93b-2d44-445a-9a77-d3e914f46a12,,-5750.00,,147307.58,2026-04-03 00:31:48.549187+00,2026-04-03
774175c3-7d7f-46f4-91d7-3044247e9921,8951ac1a-2940-4e93-9a62-95e47f110cba,a279407b-55ec-478b-b8ba-de4459df986f,payment,invoice,281178fb-7e3f-45b6-b956-ba1b325f4cb8,857ed192-e414-43ce-817c-9c98ffca46ee,-700.00,,1919.35,2026-05-09 21:32:06.762842+00,2026-05-09
72913983-51b6-435c-a50d-c58d3b8984fc,8951ac1a-2940-4e93-9a62-95e47f110cba,a279407b-55ec-478b-b8ba-de4459df986f,payment,invoice,281178fb-7e3f-45b6-b956-ba1b325f4cb8,491732ff-7439-4b0f-8ffd-7fb581af06f4,-250.00,,1669.35,2026-05-09 21:34:43.51787+00,2026-05-09
df4629d5-0da2-43f7-a846-4378fc227ecc,145f2128-83ca-4ba8-85b5-8ade245c5530,f225ffb7-2eb1-4346-a949-882992d6f630,payment,invoice,e6267adb-6470-4f89-88d8-1f7036054839,f3f16237-5b5a-4221-97b0-a19483059468,-15322.58,,131985.00,2026-06-05 22:31:35.285851+00,2026-06-05
46104539-677b-4c6b-b391-8d7c8530581f,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,e78e54b0-7d4c-4c74-b706-bfa8ad5cb523,6f0c28a7-e9cb-44dd-a671-e990c6a266e0,-80.00,,2808.00,2026-07-18 11:11:04.27201+00,2026-07-18
5b301cd7-3353-4277-9c5f-2fb566cf8e34,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,e78e54b0-7d4c-4c74-b706-bfa8ad5cb523,6f0c28a7-e9cb-44dd-a671-e990c6a266e0,-23.00,,2785.00,2026-07-18 11:11:04.573785+00,2026-07-18
9b8b1da0-00eb-47d8-aa82-f6036a4058e1,348ce41c-1102-4295-bf6a-2ea0203c1036,364165f0-58ec-464c-bdc0-86f3e7a0c79b,payment,invoice,af663402-5dd3-492d-8c8f-d39ef08478a5,7ffcb9a4-1aaf-41c9-90f4-16c74f78914a,-15.00,,2770.00,2026-07-18 11:49:26.86462+00,2026-07-18
